major,gpa,skills,internships,projects,leadership,career
Mathematics,3.74,"Leadership,Python,Communication,Project Management",2,7,3,Software Engineer
Biology,2.2,"Python,Data Analysis,Java,Project Management",1,8,0,Data Scientist
Business,3.51,"Data Analysis,Design,Python",0,7,0,Data Scientist
Biology,2.41,"Leadership,Java",4,9,0,Software Engineer
Engineering,3.68,"Python,Communication,Design,Data Analysis,Java",0,9,1,Data Scientist
Engineering,3.93,"Statistics,Design,Project Management",1,5,0,UX Researcher
Business,3.32,"Java,Statistics,Python",0,0,0,Software Engineer
Biology,2.42,"Project Management,Leadership,Java,Python",0,7,2,UX Researcher
Psychology,3.82,"Communication,Leadership,Design,Java,Statistics",1,2,3,Software Engineer
Engineering,2.33,"Communication,Design,Data Analysis,Leadership",2,6,2,Product Manager
Computer Science,3.79,"Leadership,Design",3,3,1,UX Researcher
Psychology,3.04,"Java,Leadership,Statistics,Python,Communication",1,2,0,Software Engineer
Engineering,2.26,"Data Analysis,Java,Python,Statistics",1,8,1,Data Scientist
Psychology,3.26,"Statistics,Communication,Data Analysis,Python",0,0,0,Data Scientist
Biology,3.96,"Leadership,Python,Design,Communication",0,2,2,UX Researcher
Psychology,2.98,"Project Management,Design,Java",1,0,0,Software Engineer
Computer Science,2.51,"Data Analysis,Project Management,Communication,Leadership,Statistics",0,5,3,Product Manager
Mathematics,2.6,"Design,Statistics,Leadership",1,9,3,UX Researcher
Business,3.82,"Data Analysis,Project Management,Leadership,Statistics",0,3,0,Data Scientist
Business,3.59,"Data Analysis,Communication,Design",2,1,3,UX Researcher
Business,2.76,"Communication,Leadership,Project Management",4,6,3,Product Manager
Computer Science,2.04,"Data Analysis,Project Management,Leadership",4,9,1,UX Researcher
Engineering,2.72,"Communication,Java,Project Management",0,7,0,Software Engineer
Psychology,3.19,"Statistics,Leadership,Design",1,1,0,UX Researcher
Psychology,2.03,"Project Management,Python,Communication",3,7,1,Software Engineer
Computer Science,2.38,"Java,Project Management,Communication,Design,Statistics",2,7,3,Software Engineer
Biology,3.05,"Project Management,Design,Data Analysis",2,0,2,Data Scientist
Psychology,2.7,"Data Analysis,Project Management,Design",4,0,2,UX Researcher
Engineering,3.4,"Communication,Data Analysis",1,0,1,Data Scientist
Business,3.17,"Design,Data Analysis,Project Management,Statistics,Leadership",1,6,3,UX Researcher
Biology,3.8,"Data Analysis,Project Management,Communication,Design,Leadership",4,6,2,Product Manager
Psychology,2.81,"Communication,Python",1,7,2,Software Engineer
Computer Science,3.43,"Java,Leadership,Data Analysis",0,3,0,UX Researcher
Mathematics,3.78,"Project Management,Statistics",3,6,1,Data Scientist
Engineering,3.27,"Project Management,Leadership,Design,Data Analysis",2,1,3,UX Researcher
Biology,3.72,"Design,Communication,Python,Statistics,Project Management",0,4,2,Software Engineer
Business,2.74,"Communication,Design,Java,Data Analysis",3,3,3,Product Manager
Business,3.87,"Design,Data Analysis,Project Management,Python,Leadership",4,2,2,Data Scientist
Computer Science,2.55,"Java,Python,Project Management",0,1,3,Software Engineer
Engineering,2.1,"Statistics,Data Analysis",3,5,3,Data Scientist
Business,3.53,"Java,Leadership,Communication",4,2,3,Software Engineer
Computer Science,3.92,"Communication,Project Management,Data Analysis,Python,Statistics",2,4,3,Data Scientist
Biology,3.73,"Leadership,Data Analysis,Python,Design,Project Management",1,6,0,Data Scientist
Psychology,2.26,"Design,Python,Project Management",3,0,2,Software Engineer
Computer Science,3.53,"Design,Leadership,Data Analysis",2,9,1,UX Researcher
Mathematics,2.21,"Java,Communication",0,9,1,Software Engineer
Biology,3.7,"Communication,Statistics,Design,Data Analysis",0,5,0,Consultant
Engineering,3.21,"Design,Data Analysis,Statistics",2,9,0,UX Researcher
Computer Science,2.07,"Statistics,Leadership,Python,Project Management,Communication",1,3,3,Software Engineer
Computer Science,3.0,"Design,Data Analysis,Leadership,Project Management",2,3,1,UX Researcher
Computer Science,3.89,"Communication,Data Analysis",1,7,2,ML Engineer
Computer Science,3.04,"Communication,Statistics,Design,Python,Data Analysis",3,1,1,Data Scientist
Psychology,2.91,"Leadership,Project Management,Python,Statistics,Data Analysis",2,0,3,ML Engineer
Engineering,2.3,"Python,Communication,Project Management,Java",3,1,3,Software Engineer
Psychology,3.4,"Communication,Python,Design",4,4,1,Software Engineer
Business,2.05,"Java,Statistics,Communication",3,6,0,Software Engineer
Engineering,3.99,"Data Analysis,Python,Java,Statistics,Project Management",4,4,3,Data Scientist
Computer Science,3.97,"Design,Project Management",0,1,1,UX Researcher
Engineering,3.76,"Communication,Design,Data Analysis,Python,Project Management",3,0,3,ML Engineer
Biology,2.51,"Python,Project Management,Communication,Statistics,Data Analysis",0,1,3,UX Researcher
Mathematics,3.84,"Python,Design,Statistics",1,7,3,Software Engineer
Mathematics,3.39,"Statistics,Project Management,Java,Design,Python",1,8,0,Software Engineer
Psychology,3.62,"Python,Data Analysis,Project Management,Java",1,1,3,Data Scientist
Psychology,2.01,"Python,Leadership,Data Analysis,Communication,Design",3,7,2,Data Scientist
Biology,2.44,"Design,Leadership,Communication,Statistics",0,3,1,Product Manager
Engineering,3.78,"Design,Python,Leadership,Statistics",3,4,2,Software Engineer
Computer Science,3.77,"Statistics,Communication,Java,Python",1,5,1,Software Engineer
Psychology,3.28,"Communication,Data Analysis,Design",3,6,3,UX Researcher
Psychology,3.21,"Java,Python,Design",2,3,0,Software Engineer
Mathematics,2.2,"Design,Leadership,Data Analysis,Communication,Project Management",1,6,2,Product Manager
Psychology,3.4,"Data Analysis,Python,Project Management,Leadership",2,2,0,Data Scientist
Mathematics,2.75,"Design,Project Management,Data Analysis,Leadership,Python",3,5,3,Data Scientist
Computer Science,3.45,"Communication,Python",4,0,3,Software Engineer
Biology,2.88,"Leadership,Statistics",0,0,0,Data Scientist
Biology,2.53,"Leadership,Data Analysis",2,3,2,Consultant
Psychology,3.65,"Project Management,Communication,Statistics,Java",2,6,3,Software Engineer
Engineering,3.14,"Communication,Data Analysis,Leadership",3,8,3,Data Scientist
Mathematics,3.26,"Leadership,Design,Java",4,8,2,Consultant
Engineering,3.05,"Communication,Python,Design,Data Analysis",4,8,2,Data Scientist
Biology,3.02,"Python,Data Analysis,Communication",0,3,2,ML Engineer
Psychology,2.56,"Project Management,Leadership,Design",2,1,3,Product Manager
Biology,2.83,"Design,Project Management",0,6,1,Software Engineer
Business,3.59,"Python,Leadership,Project Management",0,4,1,Software Engineer
Computer Science,2.54,"Statistics,Leadership,Python",4,5,2,Software Engineer
Computer Science,3.91,"Python,Java",4,1,1,Software Engineer
Engineering,3.1,"Data Analysis,Leadership,Communication",0,2,2,Product Manager
Business,3.96,"Statistics,Project Management,Leadership,Java,Data Analysis",1,0,3,Software Engineer
Business,2.9,"Leadership,Project Management,Statistics",3,4,3,Data Scientist
Business,2.72,"Leadership,Python,Project Management,Communication,Java",0,0,3,Software Engineer
Biology,2.48,"Java,Python",1,0,0,Software Engineer
Computer Science,3.97,"Java,Design,Statistics,Leadership,Project Management",2,9,0,Software Engineer
Computer Science,3.69,"Communication,Python,Java,Project Management",0,1,2,Software Engineer
Mathematics,3.59,"Java,Communication,Data Analysis,Design,Python",4,4,1,Data Scientist
Biology,2.02,"Java,Communication,Leadership,Project Management",1,2,3,Software Engineer
Computer Science,3.12,"Java,Project Management",2,5,1,Software Engineer
Engineering,2.67,"Project Management,Design",2,0,2,UX Researcher
Psychology,3.91,"Statistics,Communication",4,3,3,Data Scientist
Mathematics,3.12,"Leadership,Data Analysis",3,0,0,Consultant
Psychology,2.75,"Leadership,Communication,Java,Design,Statistics",3,9,1,Software Engineer
Computer Science,2.94,"Communication,Design",2,2,2,UX Researcher
Engineering,2.54,"Design,Java,Python",0,4,0,Product Manager
Computer Science,3.05,"Project Management,Python,Statistics",2,9,0,Software Engineer
Biology,3.35,"Project Management,Communication,Java",2,7,3,Software Engineer
Biology,2.97,"Data Analysis,Project Management,Leadership",3,9,1,Product Manager
Computer Science,3.86,"Design,Data Analysis",2,5,2,UX Researcher
Engineering,2.82,"Data Analysis,Leadership,Project Management,Statistics,Python",1,1,3,Data Scientist
Psychology,2.84,"Leadership,Communication,Data Analysis",1,7,0,Product Manager
Mathematics,3.49,"Data Analysis,Project Management,Python,Java",0,7,1,ML Engineer
Psychology,2.26,"Python,Data Analysis",0,0,2,ML Engineer
Mathematics,3.06,"Python,Project Management,Design",1,9,1,Software Engineer
Business,3.61,"Design,Statistics,Leadership,Communication,Python",1,1,0,Software Engineer
Psychology,2.45,"Project Management,Data Analysis,Communication",3,7,0,UX Researcher
Biology,2.44,"Leadership,Design,Java",4,0,2,Software Engineer
Engineering,3.49,"Data Analysis,Statistics",3,1,2,UX Researcher
Mathematics,3.13,"Python,Design",0,9,2,Software Engineer
Engineering,3.72,"Design,Communication",2,8,0,UX Researcher
Biology,3.04,"Design,Java,Leadership,Data Analysis",1,8,3,Software Engineer
Computer Science,2.32,"Data Analysis,Communication,Project Management",3,3,0,Data Scientist
Mathematics,3.74,"Python,Leadership,Java",4,1,1,Software Engineer
Business,2.85,"Data Analysis,Leadership",0,1,3,Data Scientist
Mathematics,2.67,"Java,Design,Data Analysis,Communication,Statistics",3,6,3,Software Engineer
Computer Science,3.05,"Leadership,Python",2,0,2,ML Engineer
Mathematics,2.63,"Leadership,Java",4,0,3,Software Engineer
Business,3.72,"Python,Project Management",1,1,1,Software Engineer
Business,2.25,"Python,Data Analysis",4,1,2,Data Scientist
Mathematics,2.58,"Design,Data Analysis,Communication,Project Management,Statistics",0,2,2,UX Researcher
Psychology,3.02,"Project Management,Statistics,Leadership",0,5,2,Data Scientist
Biology,3.98,"Leadership,Design,Communication,Data Analysis",1,8,3,Product Manager
Mathematics,2.63,"Java,Design,Statistics",4,5,1,Software Engineer
Business,2.36,"Statistics,Data Analysis,Design",1,6,3,UX Researcher
Business,2.01,"Project Management,Java,Data Analysis",2,8,2,Software Engineer
Psychology,2.77,"Project Management,Data Analysis,Communication",0,2,3,UX Researcher
Engineering,2.53,"Project Management,Leadership,Data Analysis,Java",4,4,3,Software Engineer
Engineering,3.3,"Leadership,Python,Java",3,4,3,Software Engineer
Psychology,3.1,"Design,Data Analysis",1,6,3,UX Researcher
Engineering,2.89,"Python,Data Analysis",4,9,0,ML Engineer
Psychology,2.14,"Communication,Project Management",1,0,3,Product Manager
Engineering,2.94,"Communication,Java,Statistics,Python,Leadership",2,0,2,Software Engineer
Biology,3.91,"Data Analysis,Design,Project Management,Leadership",3,9,1,UX Researcher
Biology,2.83,"Design,Statistics,Java",0,2,1,Software Engineer
Computer Science,3.87,"Statistics,Communication,Design",4,3,0,UX Researcher
Biology,3.39,"Leadership,Statistics,Data Analysis",0,6,2,Data Scientist
Computer Science,2.37,"Java,Design",2,4,2,Software Engineer
Psychology,2.5,"Leadership,Statistics",4,8,0,Data Scientist
Engineering,3.79,"Leadership,Project Management",4,7,2,ML Engineer
Psychology,3.97,"Design,Leadership",4,1,1,UX Researcher
Mathematics,3.73,"Statistics,Java",1,8,2,Software Engineer
Computer Science,3.59,"Java,Communication",0,5,1,Software Engineer
Computer Science,2.91,"Leadership,Design,Data Analysis",3,7,2,UX Researcher
Engineering,2.78,"Leadership,Statistics,Design",4,9,0,UX Researcher
Computer Science,3.11,"Python,Data Analysis",2,7,0,ML Engineer
Business,2.17,"Design,Java,Data Analysis,Leadership,Project Management",1,4,1,Software Engineer
Biology,2.55,"Python,Design,Java",3,6,1,Software Engineer
Business,3.76,"Project Management,Python,Statistics,Java",4,3,0,UX Researcher
Computer Science,2.02,"Python,Data Analysis",2,9,1,Data Scientist
Computer Science,2.96,"Python,Project Management,Leadership",1,8,0,Software Engineer
Computer Science,2.25,"Design,Project Management,Statistics,Java",4,4,0,Software Engineer
Engineering,2.21,"Communication,Python,Statistics,Project Management",3,8,0,Software Engineer
Biology,2.82,"Java,Project Management,Design,Communication,Python",2,5,1,Software Engineer
Mathematics,2.97,"Python,Communication,Design,Java,Statistics",1,7,1,Software Engineer
Business,2.65,"Design,Project Management,Java,Python,Data Analysis",2,1,0,Data Scientist
Engineering,2.23,"Java,Communication,Statistics",2,7,1,Data Scientist
Business,2.17,"Java,Project Management",2,3,1,Data Scientist
Computer Science,3.74,"Java,Leadership",4,8,0,Product Manager
Computer Science,3.95,"Statistics,Project Management",1,3,0,Data Scientist
Engineering,2.02,"Leadership,Design",3,8,2,UX Researcher
Biology,3.32,"Leadership,Python,Data Analysis,Statistics",2,6,2,Data Scientist
Psychology,3.71,"Python,Communication",0,3,3,Software Engineer
Mathematics,2.89,"Statistics,Communication,Project Management,Java",4,1,3,Software Engineer
Business,2.64,"Data Analysis,Communication,Python,Leadership,Design",4,0,0,ML Engineer
Business,2.21,"Java,Data Analysis,Communication,Statistics,Design",0,4,3,Software Engineer
Computer Science,2.13,"Communication,Design",2,1,1,UX Researcher
Computer Science,2.86,"Data Analysis,Design,Java,Project Management,Communication",2,8,1,Software Engineer
Business,2.3,"Design,Leadership,Project Management",1,0,3,Consultant
Psychology,3.06,"Python,Project Management",4,9,2,Software Engineer
Biology,3.15,"Design,Java,Communication,Project Management,Statistics",4,9,3,Software Engineer
Engineering,2.39,"Project Management,Python",0,2,0,Software Engineer
Mathematics,3.41,"Communication,Java,Statistics,Project Management",0,3,2,ML Engineer
Business,2.39,"Java,Design,Data Analysis",1,0,3,Software Engineer
Mathematics,3.71,"Python,Project Management,Statistics,Communication",1,8,0,Software Engineer
Engineering,2.73,"Communication,Leadership",1,6,1,Product Manager
Engineering,2.57,"Design,Statistics,Java",3,4,2,Software Engineer
Computer Science,3.79,"Communication,Leadership,Project Management",4,3,2,Product Manager
Business,2.67,"Leadership,Design",0,4,2,UX Researcher
Business,3.73,"Project Management,Statistics,Data Analysis,Design",3,9,3,UX Researcher
Engineering,3.11,"Project Management,Statistics,Leadership,Design",1,0,2,UX Researcher
Business,2.42,"Java,Communication,Project Management,Design,Leadership",0,3,0,Data Scientist
Psychology,2.9,"Java,Communication,Statistics",3,4,0,Software Engineer
Mathematics,3.79,"Java,Communication,Statistics",3,2,0,Consultant
Engineering,3.99,"Communication,Leadership,Project Management",0,6,2,Product Manager
Computer Science,2.58,"Communication,Data Analysis",1,8,2,ML Engineer
Business,2.11,"Statistics,Project Management",4,7,2,Consultant
Mathematics,2.67,"Data Analysis,Statistics,Project Management",4,7,2,Data Scientist
Business,3.94,"Data Analysis,Communication",1,0,0,UX Researcher
Mathematics,2.05,"Data Analysis,Leadership,Python,Design",0,2,3,Data Scientist
Engineering,3.92,"Communication,Project Management,Statistics",0,1,2,Data Scientist
Mathematics,2.24,"Communication,Project Management,Java,Statistics",0,8,0,Product Manager
Biology,2.84,"Data Analysis,Project Management",3,3,2,Product Manager
Psychology,3.71,"Java,Communication",3,5,3,Software Engineer
Biology,3.33,"Design,Java,Project Management,Data Analysis,Communication",3,5,1,Software Engineer
Psychology,3.24,"Project Management,Leadership",2,3,0,Product Manager
Computer Science,3.35,"Data Analysis,Design,Java,Statistics",2,0,0,Software Engineer
Computer Science,3.68,"Communication,Leadership,Data Analysis,Design",4,7,2,Product Manager
Business,2.56,"Design,Communication,Python,Project Management,Leadership",1,8,2,Software Engineer
Biology,3.61,"Statistics,Java,Design",3,0,0,Software Engineer
Mathematics,3.72,"Leadership,Java",1,7,3,Software Engineer
Business,3.8,"Design,Project Management,Java,Statistics",2,4,1,Consultant
Business,3.25,"Project Management,Statistics,Communication,Leadership",4,5,3,Product Manager
Biology,2.4,"Project Management,Python",4,7,2,Software Engineer
Psychology,3.43,"Communication,Design",4,4,0,UX Researcher
Biology,2.55,"Design,Communication,Python,Data Analysis,Project Management",4,7,2,ML Engineer
Business,3.5,"Design,Java",2,7,2,Software Engineer
Business,3.49,"Project Management,Data Analysis",2,2,3,Software Engineer
Engineering,2.83,"Java,Data Analysis,Leadership",4,6,1,Software Engineer
Psychology,2.68,"Statistics,Java,Project Management",3,5,1,Software Engineer
Mathematics,2.29,"Communication,Statistics,Data Analysis",3,2,0,Data Scientist
Biology,3.13,"Java,Leadership,Communication",3,7,1,Software Engineer
Computer Science,3.62,"Communication,Python,Data Analysis,Java,Project Management",3,7,1,Data Scientist
Business,3.61,"Data Analysis,Leadership,Communication,Design",1,0,3,Product Manager
Computer Science,3.63,"Project Management,Data Analysis,Leadership,Statistics",0,1,1,Data Scientist
Mathematics,2.78,"Data Analysis,Design,Project Management,Communication,Java",2,8,0,Software Engineer
Biology,2.94,"Project Management,Design,Communication",2,4,2,UX Researcher
Mathematics,3.04,"Project Management,Java,Data Analysis",2,5,0,Software Engineer
Computer Science,2.78,"Statistics,Leadership",0,2,3,Software Engineer
Psychology,2.37,"Communication,Data Analysis",3,4,0,UX Researcher
Business,2.51,"Leadership,Design,Project Management,Communication",0,7,2,Product Manager
Psychology,3.25,"Design,Communication,Project Management,Python",1,5,0,UX Researcher
Engineering,2.37,"Design,Leadership,Data Analysis,Java,Statistics",4,0,2,Software Engineer
Biology,3.68,"Communication,Leadership,Statistics",2,1,3,Product Manager
Engineering,3.73,"Data Analysis,Project Management,Design",3,7,2,UX Researcher
Business,3.14,"Communication,Statistics,Java,Project Management",1,7,3,Software Engineer
Psychology,3.95,"Leadership,Design,Statistics",2,6,0,UX Researcher
Computer Science,3.07,"Project Management,Data Analysis,Statistics",1,9,0,Data Scientist
Engineering,2.21,"Communication,Leadership,Python",0,8,2,Software Engineer
Psychology,3.42,"Java,Design,Data Analysis,Project Management",3,2,1,Software Engineer
Engineering,2.54,"Java,Leadership",3,7,1,Software Engineer
Computer Science,3.36,"Design,Communication",4,3,1,UX Researcher
Psychology,3.94,"Java,Leadership,Design",1,4,2,Software Engineer
Psychology,3.64,"Java,Project Management",4,5,2,Software Engineer
Business,3.3,"Leadership,Data Analysis",1,6,2,ML Engineer
Engineering,2.13,"Python,Leadership,Communication,Project Management",2,9,1,ML Engineer
Psychology,3.96,"Data Analysis,Python,Statistics,Java,Design",1,2,1,Data Scientist
Mathematics,2.32,"Project Management,Statistics,Communication,Design",0,9,0,UX Researcher
Mathematics,2.42,"Design,Statistics,Python,Project Management",4,5,3,Software Engineer
Computer Science,3.37,"Project Management,Statistics",2,2,3,Data Scientist
Business,2.21,"Communication,Design,Statistics",0,6,3,UX Researcher
Psychology,2.51,"Communication,Project Management,Leadership,Design,Python",3,2,3,Software Engineer
Business,3.61,"Statistics,Python,Data Analysis",3,9,0,Data Scientist
Business,3.65,"Project Management,Python",1,8,0,ML Engineer
Biology,3.55,"Project Management,Python,Leadership,Communication,Data Analysis",0,9,1,ML Engineer
Computer Science,2.2,"Leadership,Design,Java,Project Management",2,8,0,UX Researcher
Mathematics,3.55,"Statistics,Project Management,Data Analysis,Java",3,3,3,Product Manager
Mathematics,3.93,"Statistics,Leadership",1,1,0,Data Scientist
Mathematics,2.66,"Leadership,Python",1,8,2,Software Engineer
Psychology,2.43,"Leadership,Java,Statistics,Design,Project Management",1,3,1,UX Researcher
Biology,3.12,"Design,Statistics,Python",0,3,2,Software Engineer
Psychology,2.78,"Design,Leadership,Python,Project Management,Java",3,1,1,Software Engineer
Biology,2.25,"Leadership,Design,Statistics",0,2,3,UX Researcher
Business,3.98,"Leadership,Java",4,9,0,Product Manager
Business,3.56,"Data Analysis,Python,Java",2,3,0,ML Engineer
Business,3.75,"Design,Python",4,9,1,Software Engineer
Engineering,2.64,"Python,Design",2,3,2,Software Engineer
Psychology,2.25,"Communication,Design,Python",0,8,0,Software Engineer
Biology,2.1,"Communication,Project Management,Java,Python",2,6,2,Software Engineer
Biology,3.96,"Design,Java",0,2,0,UX Researcher
Computer Science,3.05,"Python,Statistics",0,1,0,Software Engineer
Business,2.76,"Design,Python,Java,Communication,Data Analysis",2,0,1,Data Scientist
Business,2.51,"Design,Communication,Leadership,Data Analysis,Java",3,6,3,ML Engineer
Psychology,3.46,"Project Management,Leadership,Python,Design,Statistics",4,9,0,Software Engineer
Mathematics,3.8,"Leadership,Design",2,5,3,UX Researcher
Mathematics,3.05,"Statistics,Communication",3,5,1,Data Scientist
Business,3.35,"Project Management,Communication,Python,Data Analysis,Statistics",4,2,2,Data Scientist
Psychology,3.96,"Leadership,Data Analysis,Project Management",0,7,2,Software Engineer
Mathematics,2.17,"Python,Statistics,Leadership,Project Management",3,3,0,Software Engineer
Psychology,2.68,"Project Management,Design,Communication",1,2,3,UX Researcher
Computer Science,3.22,"Project Management,Statistics,Communication",3,9,1,Data Scientist
Mathematics,3.94,"Data Analysis,Statistics,Java",4,7,1,Software Engineer
Computer Science,2.04,"Data Analysis,Java,Project Management",2,2,3,Software Engineer
Engineering,3.23,"Python,Communication,Data Analysis,Design",3,6,2,ML Engineer
Psychology,2.12,"Data Analysis,Communication,Leadership,Java,Project Management",4,2,0,Software Engineer
Psychology,3.12,"Communication,Data Analysis,Python,Java,Leadership",1,1,0,Product Manager
Computer Science,2.93,"Python,Project Management",4,0,2,Software Engineer
Biology,2.07,"Design,Project Management,Python,Statistics",0,5,2,Software Engineer
Mathematics,2.94,"Data Analysis,Design,Java,Leadership",4,3,1,Software Engineer
Computer Science,3.58,"Communication,Java,Project Management",0,1,2,Software Engineer
Business,2.34,"Design,Leadership,Communication,Python",2,6,3,Software Engineer
Psychology,3.34,"Statistics,Design,Java,Data Analysis,Communication",4,5,3,UX Researcher
Engineering,3.58,"Java,Python,Statistics,Project Management",4,5,1,Software Engineer
Mathematics,3.08,"Data Analysis,Statistics,Java,Python",3,5,2,Product Manager
Engineering,2.27,"Project Management,Java,Leadership,Design,Python",3,9,2,Software Engineer
Business,2.62,"Communication,Java,Project Management,Design",2,4,3,Software Engineer
Psychology,2.49,"Python,Java,Leadership,Design",2,4,0,Software Engineer
Computer Science,2.52,"Data Analysis,Leadership,Java,Communication,Statistics",0,2,2,Software Engineer
Business,2.76,"Design,Communication",2,4,1,UX Researcher
Engineering,3.22,"Data Analysis,Leadership,Project Management,Java",2,9,1,Software Engineer
Mathematics,2.31,"Project Management,Java",4,4,2,Software Engineer
Computer Science,2.46,"Java,Data Analysis,Design,Statistics,Python",2,0,3,Data Scientist
Computer Science,2.34,"Statistics,Design",2,5,0,UX Researcher
Psychology,3.83,"Project Management,Statistics",4,8,0,UX Researcher
Mathematics,2.33,"Python,Communication,Data Analysis,Java,Project Management",1,7,0,Data Scientist
Mathematics,3.27,"Java,Communication,Project Management,Design",0,9,2,Software Engineer
Biology,3.78,"Leadership,Data Analysis,Project Management,Design,Statistics",2,7,2,UX Researcher
Psychology,3.61,"Design,Java,Data Analysis,Python",0,4,2,Data Scientist
Business,3.19,"Java,Design,Data Analysis,Communication",4,8,3,Software Engineer
Engineering,3.08,"Project Management,Java,Python",0,5,1,Software Engineer
Business,2.56,"Communication,Statistics,Python",3,9,1,Software Engineer
Computer Science,2.21,"Design,Data Analysis,Communication,Leadership",2,2,3,Product Manager
Psychology,3.2,"Java,Statistics",0,5,0,Software Engineer
Business,2.99,"Data Analysis,Leadership,Project Management",2,8,3,Software Engineer
Computer Science,2.84,"Statistics,Communication",3,9,2,Data Scientist
Biology,2.32,"Leadership,Java",3,1,3,Software Engineer
Psychology,2.52,"Communication,Project Management,Statistics,Python,Leadership",4,2,2,Software Engineer
Engineering,2.91,"Leadership,Design,Python,Communication",4,3,0,Software Engineer
Computer Science,2.9,"Leadership,Data Analysis",3,2,1,UX Researcher
Business,2.74,"Data Analysis,Statistics",2,5,2,Data Scientist
Psychology,3.86,"Project Management,Python,Communication",1,2,3,Software Engineer
Psychology,3.09,"Leadership,Design,Python,Communication",2,4,2,Software Engineer
Mathematics,3.97,"Project Management,Leadership,Data Analysis,Communication,Java",4,6,1,Software Engineer
Business,3.32,"Statistics,Design,Python,Leadership,Project Management",2,6,3,UX Researcher
Engineering,2.92,"Communication,Data Analysis",4,5,1,Product Manager
Business,3.01,"Statistics,Python,Communication",3,4,3,Software Engineer
Computer Science,3.37,"Java,Design,Data Analysis",0,3,3,Software Engineer
Psychology,2.85,"Leadership,Design,Statistics,Data Analysis",1,8,2,UX Researcher
Mathematics,2.58,"Communication,Leadership,Data Analysis,Python",0,3,3,Data Scientist
Engineering,3.22,"Statistics,Leadership",2,3,1,Data Scientist
Computer Science,2.84,"Project Management,Java,Python,Data Analysis",1,5,0,ML Engineer
Biology,3.08,"Python,Java,Design,Project Management",4,9,0,Software Engineer
Biology,2.68,"Leadership,Data Analysis,Project Management",2,7,2,ML Engineer
Mathematics,2.23,"Statistics,Data Analysis,Project Management",1,0,1,Data Scientist
Engineering,2.99,"Data Analysis,Python,Leadership",0,7,1,Data Scientist
Engineering,2.07,"Leadership,Java,Data Analysis,Statistics,Design",2,6,0,Software Engineer
Biology,2.25,"Python,Leadership,Data Analysis,Communication,Java",4,5,3,Data Scientist
Psychology,3.31,"Data Analysis,Communication,Statistics",0,8,3,Data Scientist
Psychology,2.48,"Python,Statistics",0,4,1,Consultant
Mathematics,2.06,"Python,Java",0,6,2,Software Engineer
Biology,3.23,"Java,Statistics,Python",1,2,2,Software Engineer
Business,2.01,"Communication,Python,Project Management,Leadership",4,0,0,Software Engineer
Computer Science,3.83,"Leadership,Design,Data Analysis,Python",3,1,2,ML Engineer
Psychology,2.28,"Communication,Java",4,3,3,Software Engineer
Engineering,3.74,"Data Analysis,Design",1,7,1,UX Researcher
Computer Science,3.95,"Java,Design,Project Management,Statistics,Communication",2,4,0,Software Engineer
Biology,3.44,"Leadership,Communication,Java",2,3,2,Software Engineer
Biology,3.22,"Design,Statistics,Data Analysis",3,8,2,UX Researcher
Mathematics,3.73,"Data Analysis,Design,Python",4,6,3,ML Engineer
Mathematics,2.65,"Python,Communication,Statistics",2,8,2,Software Engineer
Computer Science,3.55,"Communication,Java",4,0,1,Software Engineer
Psychology,2.34,"Java,Statistics,Python,Data Analysis,Leadership",0,8,3,ML Engineer
Psychology,3.39,"Design,Statistics,Project Management",4,2,3,UX Researcher
Psychology,2.59,"Data Analysis,Java,Design,Communication,Python",1,4,1,Data Scientist
Computer Science,3.7,"Java,Leadership,Data Analysis",0,5,3,Software Engineer
Computer Science,3.32,"Project Management,Communication",2,6,1,Product Manager
Psychology,2.97,"Leadership,Design,Communication,Statistics,Python",4,6,1,Software Engineer
Business,2.73,"Data Analysis,Python",4,9,0,Data Scientist
Biology,2.85,"Project Management,Design,Leadership,Statistics,Java",3,9,1,Product Manager
Business,3.68,"Data Analysis,Design,Communication,Java,Leadership",2,6,2,UX Researcher
Biology,2.51,"Project Management,Leadership",2,4,2,Consultant
Business,3.57,"Communication,Java,Data Analysis,Leadership",4,1,2,Software Engineer
Business,3.47,"Java,Python",3,1,0,Software Engineer
Mathematics,3.74,"Project Management,Statistics,Leadership,Java,Communication",2,6,1,Software Engineer
Business,3.86,"Communication,Java",4,6,2,Software Engineer
Computer Science,3.25,"Python,Java,Leadership,Statistics,Project Management",1,0,2,Software Engineer
Biology,3.92,"Statistics,Design,Leadership",4,6,1,UX Researcher
Biology,3.17,"Python,Communication,Design,Data Analysis",3,9,1,Data Scientist
Mathematics,3.47,"Data Analysis,Java,Communication,Leadership",1,6,0,Software Engineer
Business,2.27,"Statistics,Design",4,8,0,UX Researcher
Business,3.82,"Java,Leadership,Statistics",1,0,2,Software Engineer
Computer Science,2.26,"Project Management,Python,Data Analysis,Java,Communication",4,3,2,Data Scientist
Mathematics,2.01,"Data Analysis,Communication",2,4,0,UX Researcher
Psychology,3.11,"Statistics,Leadership,Java",2,0,1,UX Researcher
Biology,3.75,"Statistics,Communication,Design",2,2,3,UX Researcher
Business,3.88,"Python,Leadership",2,2,1,Software Engineer
Mathematics,3.27,"Project Management,Design,Java",2,5,3,Software Engineer
Computer Science,2.24,"Python,Design,Leadership,Java",3,4,3,Software Engineer
Mathematics,3.68,"Statistics,Project Management,Python,Data Analysis",4,4,1,Data Scientist
